step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
212,1.88185,15.3926,0.0748487,0.0776992,0.578933,0.535385
213,2.01636,15.1828,0.0750559,0.0775273,0.577659,0.534163
214,2.1524,14.9557,0.0751955,0.0773873,0.576424,0.533005
215,2.3319,14.7143,0.075083,0.077348,0.575554,0.531896
216,2.44986,14.4778,0.0749805,0.0774327,0.574643,0.530896
217,2.62924,14.2856,0.0748133,0.0774176,0.574258,0.529788
218,2.78329,14.0451,0.07472,0.0775438,0.574067,0.529068
219,2.88163,13.8222,0.0745867,0.0777223,0.573598,0.52823
220,2.99795,13.5767,0.0744643,0.0781184,0.573086,0.527478
221,3.0061,13.3763,0.0744144,0.0783898,0.571885,0.526475
222,3.0938,13.1803,0.074452,0.0785209,0.570677,0.525296
223,3.23791,12.9821,0.0743434,0.0785462,0.569661,0.524124
224,3.37507,12.7516,0.0741812,0.0786318,0.568942,0.52299
225,3.3976,12.625,0.0742564,0.078458,0.567755,0.522208
226,3.52312,12.406,0.0742144,0.0782851,0.566644,0.521183
227,3.65416,12.1874,0.0740802,0.0781132,0.565717,0.520152
228,3.73609,11.9739,0.0739801,0.077944,0.564684,0.519119
229,3.88182,11.7519,0.0738199,0.0777759,0.563967,0.518069
230,3.96644,11.5336,0.0736603,0.0776109,0.563006,0.516947
231,4.08045,11.2668,0.0735112,0.0774733,0.562182,0.515864
232,4.21742,11.0562,0.0734758,0.0773181,0.561696,0.514759
233,4.24749,10.8955,0.0733195,0.0772035,0.560702,0.513739
234,4.32014,10.6783,0.0731661,0.077107,0.559588,0.512665
235,4.41414,10.4642,0.0730112,0.0770421,0.558504,0.51161
236,4.52585,10.2328,0.0728725,0.0769569,0.5575,0.510533
237,4.5774,10.0172,0.0727222,0.0769022,0.55638,0.509479
238,4.67293,9.79489,0.07257,0.0768582,0.555248,0.508418
239,4.71477,9.60802,0.072464,0.0769921,0.554092,0.507378
240,4.75589,9.45145,0.0725011,0.077639,0.552984,0.506616
241,4.79118,9.20234,0.0728122,0.078077,0.551976,0.505763
242,4.88836,8.94839,0.0730109,0.0783097,0.550903,0.504746
243,5.00674,8.68356,0.0730118,0.0783322,0.549773,0.503714
244,5.13511,8.44823,0.07288,0.0783174,0.548813,0.502694
245,5.23169,8.18447,0.0727336,0.0781943,0.547916,0.501677
246,5.35644,7.93355,0.0726249,0.0780401,0.547303,0.500678
247,5.42048,7.7058,0.0724919,0.0778862,0.546501,0.499674
248,5.54422,7.45804,0.0724697,0.0777319,0.545932,0.4987
249,5.56298,7.24306,0.0723258,0.0775764,0.54496,0.497702
250,5.66876,7.03057,0.0722118,0.0774285,0.544315,0.496823
251,5.79103,6.79734,0.072228,0.0772771,0.543849,0.495892
252,5.82385,6.59105,0.0721091,0.077147,0.542809,0.494919
253,5.8592,6.37839,0.0719729,0.0770436,0.541742,0.493987
254,5.93312,6.11497,0.0718436,0.0768934,0.540692,0.493019
255,5.99109,5.90588,0.0717546,0.0767573,0.539688,0.492059
256,6.03435,5.67244,0.0717939,0.0766145,0.539028,0.491129
257,6.07876,5.46805,0.0720331,0.0765021,0.538552,0.490177
258,6.15672,5.23349,0.0722976,0.0763754,0.537918,0.489231
259,6.24896,4.97858,0.0725017,0.0762283,0.537172,0.488336
260,6.29963,4.80344,0.0729313,0.0761442,0.536668,0.487401
261,6.44938,4.47387,0.0729678,0.0760745,0.535767,0.486839
262,6.55021,4.22617,0.0729457,0.0760817,0.534748,0.486188
263,6.67632,3.93783,0.0728273,0.076438,0.533749,0.485987
264,6.79406,3.69017,0.0726899,0.0769684,0.532895,0.485707
265,6.82327,3.52928,0.0726404,0.0770817,0.531895,0.484875
266,6.89988,3.31596,0.072638,0.0771469,0.530901,0.484002
267,7.00409,3.18244,0.0725942,0.0770032,0.529918,0.483176
268,7.10108,3.03509,0.0725399,0.0769828,0.528947,0.482801
269,7.20682,2.81862,0.072458,0.0769814,0.527976,0.482294
270,7.3076,2.61174,0.0723673,0.0770376,0.527043,0.48166
271,7.38964,2.39271,0.0723174,0.0771004,0.526165,0.480961
272,7.46865,2.12397,0.0723398,0.0770046,0.525542,0.480081
273,7.56453,1.85896,0.072386,0.0768641,0.524954,0.479267
274,7.69569,1.63292,0.0723347,0.0767263,0.524026,0.478459
275,7.83619,1.27506,0.0722153,0.0771135,0.523086,0.478705
276,7.95209,1.09003,0.0720893,0.0772971,0.522142,0.478404
277,8.00898,0.859519,0.072069,0.0775622,0.521281,0.478062
278,8.12263,0.634254,0.0720431,0.0778879,0.520361,0.477698
279,8.24951,0.454793,0.0719805,0.078012,0.519449,0.477049
280,8.38321,0.262503,0.0718814,0.0780429,0.518553,0.476299
281,8.49481,0.126119,0.0717963,0.0779069,0.517688,0.475466
282,8.67684,-0.0864541,0.0716787,0.0777725,0.517067,0.474626
283,8.84052,-0.241484,0.0716397,0.0776765,0.516471,0.473848
284,8.99344,-0.362011,0.0716971,0.0779244,0.51605,0.473416
285,9.14359,-0.569925,0.0718557,0.0781651,0.515515,0.472826
286,9.2877,-0.805816,0.0720839,0.0782495,0.51484,0.472043
287,9.37805,-1.11606,0.0721023,0.0781145,0.513965,0.471422
288,9.53194,-1.38505,0.0721916,0.0780969,0.513256,0.471351
289,9.71029,-1.59291,0.0724913,0.0781024,0.512554,0.471241
290,9.84093,-1.75484,0.0727179,0.0780076,0.511675,0.470689
291,9.94472,-1.92848,0.072746,0.0778813,0.510868,0.470025
292,10.1117,-2.14865,0.0728539,0.0777888,0.510024,0.469619
293,10.2578,-2.34569,0.0729398,0.0777033,0.509158,0.469219
294,10.3707,-2.50239,0.0728834,0.0775743,0.508547,0.468544
295,10.5136,-2.75469,0.0727971,0.077563,0.508097,0.468245
296,10.6465,-2.94104,0.0726784,0.0775488,0.508056,0.467863
297,10.7619,-3.11303,0.0725837,0.0774971,0.508334,0.467406
298,10.9539,-3.3149,0.0724638,0.0775041,0.507594,0.467401
299,11.1243,-3.47933,0.072344,0.0774628,0.506887,0.467212
300,11.3004,-3.66207,0.0722239,0.0774369,0.506087,0.467166
301,11.4891,-3.86327,0.0721069,0.0775045,0.50531,0.467318
302,11.6646,-4.07087,0.0719893,0.0777437,0.504601,0.46777
303,11.8482,-4.25511,0.0718733,0.0780697,0.503937,0.46828
304,12.0461,-4.45668,0.0717683,0.0786364,0.503226,0.469171
305,12.2518,-4.57943,0.0716911,0.0789265,0.502492,0.469439
306,12.4551,-4.75273,0.0716425,0.0792971,0.501675,0.470032
307,12.6703,-4.83369,0.0716581,0.0793003,0.50086,0.469833
308,12.864,-4.99378,0.0716635,0.0793283,0.500113,0.469628
309,13.0685,-5.15501,0.0716853,0.0794013,0.499401,0.469548
310,13.2313,-5.31908,0.0716027,0.0795547,0.498879,0.469677
311,13.3917,-5.50569,0.071489,0.0799586,0.498637,0.470309
312,13.6351,-5.66076,0.0713919,0.0804739,0.497853,0.471629
313,13.8268,-5.79258,0.0712795,0.0809675,0.497119,0.4728
314,14.0607,-5.95475,0.0711831,0.0816983,0.49634,0.474435
315,14.3102,-6.05886,0.07115,0.0822532,0.495555,0.475556
316,14.5265,-6.21833,0.0711078,0.0831017,0.494798,0.477076
317,14.7759,-6.2679,0.0711485,0.0834489,0.494024,0.477607
318,14.9914,-6.40335,0.0711557,0.08394,0.493258,0.47851
319,15.1712,-6.46188,0.0710587,0.0841381,0.492567,0.478911
320,15.4034,-6.58951,0.0709646,0.0844672,0.491937,0.479566
321,15.64,-6.66963,0.0708762,0.0846956,0.491309,0.480042
322,15.8813,-6.79843,0.0707982,0.0851274,0.490557,0.481293
323,16.1327,-6.93624,0.0707488,0.0859146,0.489813,0.48317
324,16.3156,-7.04187,0.0706402,0.0868824,0.489551,0.484866
325,16.5581,-7.13216,0.0705319,0.0879478,0.489255,0.486625
326,16.7687,-7.25595,0.0704507,0.0895031,0.489076,0.489158
327,17.0215,-7.28254,0.0703592,0.0906294,0.488762,0.490847
328,17.2324,-7.36628,0.0703377,0.0919493,0.488757,0.492686
329,17.5243,-7.29016,0.0702389,0.0922546,0.488345,0.492865
330,17.8052,-7.3372,0.0701359,0.0925436,0.487617,0.49339
331,18.0795,-7.31372,0.0700574,0.0925499,0.486882,0.493385
332,18.3046,-7.33046,0.0699537,0.0924987,0.486284,0.493213
333,18.5548,-7.34525,0.0698495,0.0924119,0.48568,0.493072
