step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
248,-2.98129,6.23989,0.156071,0.119601,0.730741,0.54591
249,-3.05984,6.00689,0.155856,0.119648,0.729333,0.545047
250,-3.15463,5.67377,0.155624,0.119441,0.727906,0.54396
251,-3.23532,5.42761,0.155403,0.119234,0.726488,0.542881
252,-3.36312,5.14996,0.155117,0.119,0.725052,0.541842
253,-3.45,4.89966,0.154832,0.118766,0.723624,0.540812
254,-3.6018,4.59684,0.154536,0.118578,0.722291,0.539963
255,-3.69721,4.33963,0.154249,0.118414,0.720958,0.539125
256,-3.8791,4.06775,0.154157,0.118321,0.719961,0.538376
257,-3.98589,3.80861,0.154133,0.118276,0.718947,0.537643
258,-4.00522,3.63287,0.153914,0.11807,0.717606,0.536627
259,-4.10051,3.3847,0.153708,0.117871,0.716262,0.535621
260,-4.17741,3.17081,0.153479,0.117647,0.714897,0.534594
261,-4.27028,2.92714,0.153255,0.117424,0.713535,0.533573
262,-4.34722,2.62859,0.153008,0.117275,0.712179,0.532656
263,-4.43799,2.37771,0.15276,0.117147,0.710834,0.531755
264,-4.56317,2.11244,0.152571,0.117086,0.709493,0.53093
265,-4.65847,1.85966,0.152384,0.117064,0.708158,0.530127
266,-4.80098,1.57701,0.152327,0.117219,0.706855,0.529511
267,-4.90249,1.32031,0.152285,0.117457,0.705548,0.52893
268,-4.8654,1.15546,0.152002,0.117382,0.704513,0.52799
269,-4.94868,0.91084,0.151722,0.117325,0.703538,0.527069
270,-4.959,0.731946,0.151573,0.117137,0.703116,0.526099
271,-5.03269,0.495966,0.151511,0.116947,0.702799,0.525131
272,-5.11327,0.258884,0.151535,0.11676,0.702537,0.524169
273,-5.18786,0.0227585,0.151695,0.116576,0.702396,0.523214
274,-5.27782,-0.213208,0.151943,0.116394,0.702245,0.52227
275,-5.35443,-0.449312,0.152372,0.116218,0.702229,0.52134
276,-5.60523,-0.586637,0.152226,0.116043,0.701162,0.520495
277,-5.70475,-0.809751,0.152122,0.115882,0.700163,0.519629
278,-5.83481,-1.13006,0.151983,0.115693,0.699111,0.518762
279,-5.93835,-1.36595,0.151885,0.115515,0.698132,0.517928
280,-6.13701,-1.56373,0.151637,0.115312,0.696924,0.517034
281,-6.25305,-1.79461,0.151399,0.115113,0.695757,0.516166
282,-6.35713,-2.0714,0.151192,0.114987,0.694676,0.515505
283,-6.4716,-2.30832,0.151011,0.114897,0.693666,0.51491
284,-6.67133,-2.50424,0.150749,0.114751,0.692481,0.514182
285,-6.79701,-2.73577,0.150492,0.11463,0.691337,0.513517
